Node Name	Path	First Occurrence	Frequency
metadata	/metadata	/metadata	1
record	/metadata/record	/metadata/record[1]	4296
title	/metadata/record/title	/metadata/record[1]/title[1]	4296
creator	/metadata/record/creator	/metadata/record[1]/creator[1]	4296
publisher	/metadata/record/publisher	/metadata/record[1]/publisher[1]	4296
date-original	/metadata/record/date-original	/metadata/record[1]/date-original[1]	4296
description	/metadata/record/description	/metadata/record[1]/description[1]	4296
note	/metadata/record/note	/metadata/record[1]/note[1]	4296
topical-subject-lctgm	/metadata/record/topical-subject-lctgm	/metadata/record[1]/topical-subject-lctgm[1]	4296
topical-subject-lcsh	/metadata/record/topical-subject-lcsh	/metadata/record[1]/topical-subject-lcsh[1]	4296
personal-name-subject	/metadata/record/personal-name-subject	/metadata/record[1]/personal-name-subject[1]	4296
corporate-name-subject	/metadata/record/corporate-name-subject	/metadata/record[1]/corporate-name-subject[1]	4296
geographic-subject	/metadata/record/geographic-subject	/metadata/record[1]/geographic-subject[1]	4296
chronological-subject	/metadata/record/chronological-subject	/metadata/record[1]/chronological-subject[1]	4296
dcmi-type	/metadata/record/dcmi-type	/metadata/record[1]/dcmi-type[1]	4296
aat-type	/metadata/record/aat-type	/metadata/record[1]/aat-type[1]	4296
imt-type	/metadata/record/imt-type	/metadata/record[1]/imt-type[1]	4296
digital-collection	/metadata/record/digital-collection	/metadata/record[1]/digital-collection[1]	4296
contributing-institution	/metadata/record/contributing-institution	/metadata/record[1]/contributing-institution[1]	4296
archival-collection	/metadata/record/archival-collection	/metadata/record[1]/archival-collection[1]	4296
collection-identifier	/metadata/record/collection-identifier	/metadata/record[1]/collection-identifier[1]	4296
collection-guide	/metadata/record/collection-guide	/metadata/record[1]/collection-guide[1]	4296
series-number	/metadata/record/series-number	/metadata/record[1]/series-number[1]	4296
series	/metadata/record/series	/metadata/record[1]/series[1]	4296
box	/metadata/record/box	/metadata/record[1]/box[1]	4296
folder	/metadata/record/folder	/metadata/record[1]/folder[1]	4296
rights-management	/metadata/record/rights-management	/metadata/record[1]/rights-management[1]	4296
contact-information	/metadata/record/contact-information	/metadata/record[1]/contact-information[1]	4296
height-cm	/metadata/record/height-cm	/metadata/record[1]/height-cm[1]	4296
width-cm	/metadata/record/width-cm	/metadata/record[1]/width-cm[1]	4296
duration	/metadata/record/duration	/metadata/record[1]/duration[1]	4296
digitization-specifications	/metadata/record/digitization-specifications	/metadata/record[1]/digitization-specifications[1]	4296
date-digital	/metadata/record/date-digital	/metadata/record[1]/date-digital[1]	4296
file-name	/metadata/record/file-name	/metadata/record[1]/file-name[1]	4296
uploaded-by	/metadata/record/uploaded-by	/metadata/record[1]/uploaded-by[1]	4296
cataloged-by	/metadata/record/cataloged-by	/metadata/record[1]/cataloged-by[1]	4296
promo	/metadata/record/promo	/metadata/record[1]/promo[1]	4296
full-text	/metadata/record/full-text	/metadata/record[1]/full-text[1]	4296
oclc-coll-number	/metadata/record/oclc-coll-number	/metadata/record[1]/oclc-coll-number[1]	4296
transcribed	/metadata/record/transcribed	/metadata/record[1]/transcribed[1]	4296
item-url	/metadata/record/item-url	/metadata/record[1]/item-url[1]	4296
oclc-number	/metadata/record/oclc-number	/metadata/record[1]/oclc-number[1]	4296
date-created	/metadata/record/date-created	/metadata/record[1]/date-created[1]	4296
date-modified	/metadata/record/date-modified	/metadata/record[1]/date-modified[1]	4296
contentdm-number	/metadata/record/contentdm-number	/metadata/record[1]/contentdm-number[1]	4296
contentdm-fileName	/metadata/record/contentdm-fileName	/metadata/record[1]/contentdm-fileName[1]	4296
contentdm-filePath	/metadata/record/contentdm-filePath	/metadata/record[1]/contentdm-filePath[1]	4296
